"id","title","author","lexile_level","genre","tags","cover_url"
"1","Frog and Toad Are Friends","Arnold Lobel","180","Easy Reader","[""friendship"",""animals"",""humor""]","https://covers.openlibrary.org/b/id/11303047-L.jpg"
"2","Amelia Bedelia","Peggy Parish","250","Humor","[""humor"",""friendship""]","https://covers.openlibrary.org/b/id/33823-L.jpg"
"3","National Geographic Readers: Sharks","Anne Schreiber","430","Nonfiction","[""ocean"",""science"",""animals""]","https://covers.openlibrary.org/b/id/8758085-L.jpg"
"4","Magic Tree House: Dinosaurs Before Dark","Mary Pope Osborne","320","Adventure","[""adventure"",""dinosaurs"",""magic""]",
"5","Ivy and Bean","Annie Barrows","420","Realistic Fiction","[""friendship"",""humor""]","https://covers.openlibrary.org/b/id/14859230-L.jpg"
"6","Junie B. Jones and the Stupid Smelly Bus","Barbara Park","470","Humor","[""humor"",""friendship""]",
"7","Judy Moody Was in a Mood","Megan McDonald","530","Humor","[""humor"",""friendship""]","https://covers.openlibrary.org/b/id/6670043-L.jpg"
"8","Dog Man","Dav Pilkey","390","Graphic Novel","[""graphic novels"",""humor"",""superheroes""]","https://covers.openlibrary.org/b/id/7894142-L.jpg"
"9","The Boxcar Children","Gertrude Chandler Warner","590","Mystery","[""mystery"",""adventure"",""friendship""]","https://covers.openlibrary.org/b/id/11349395-L.jpg"
"10","Because of Winn-Dixie","Kate DiCamillo","610","Realistic Fiction","[""friendship"",""animals""]","https://covers.openlibrary.org/b/id/2241356-L.jpg"
"11","The One and Only Ivan","Katherine Applegate","570","Realistic Fiction","[""animals"",""friendship""]","https://covers.openlibrary.org/b/id/12656488-L.jpg"
"12","Holes","Louis Sachar","660","Mystery","[""mystery"",""adventure"",""history""]","https://covers.openlibrary.org/b/id/19797-L.jpg"
"13","Where the Red Fern Grows","Wilson Rawls","700","Realistic Fiction","[""animals"",""adventure""]","https://covers.openlibrary.org/b/id/7996608-L.jpg"
"14","The Miraculous Journey of Edward Tulane","Kate DiCamillo","700","Fantasy","[""magic"",""friendship""]","https://covers.openlibrary.org/b/id/3326249-L.jpg"
"15","Charlotte's Web","E.B. White","680","Fantasy","[""animals"",""friendship"",""magic""]","https://covers.openlibrary.org/b/id/8461797-L.jpg"
"16","The Crossover","Kwame Alexander","750","Realistic Fiction","[""sports"",""friendship""]","https://covers.openlibrary.org/b/id/7336870-L.jpg"
"17","The Cricket in Times Square","George Selden","780","Fantasy","[""animals"",""friendship"",""humor""]",
"18","A Wrinkle in Time","Madeleine L'Engle","740","Science Fiction","[""space"",""science"",""fantasy""]","https://covers.openlibrary.org/b/id/8709146-L.jpg"
"19","Percy Jackson and the Lightning Thief","Rick Riordan","740","Fantasy","[""fantasy"",""adventure"",""superheroes""]",
"20","The BFG","Roald Dahl","720","Fantasy","[""fantasy"",""magic"",""humor""]","https://covers.openlibrary.org/b/id/9176033-L.jpg"
"21","Frindle","Andrew Clements","830","Realistic Fiction","[""humor"",""friendship"",""science""]",
"22","Matilda","Roald Dahl","840","Fantasy","[""fantasy"",""magic"",""humor""]","https://covers.openlibrary.org/b/id/12889769-L.jpg"
"23","James and the Giant Peach","Roald Dahl","870","Fantasy","[""fantasy"",""adventure"",""magic""]","https://covers.openlibrary.org/b/id/8252454-L.jpg"
"24","Wonder","R.J. Palacio","790","Realistic Fiction","[""friendship"",""history""]","https://covers.openlibrary.org/b/id/8223160-L.jpg"
